sample01	sample01_1.fq.gz	sample01_2.fq.gz
sample02	sample02_1.fq.gz	sample02_2.fq.gz
sample03	sample03_1.fq.gz	sample03_2.fq.gz
sample04	sample04_1.fq.gz	sample04_2.fq.gz
sample05	sample05_1.fq.gz	sample05_2.fq.gz
sample06	sample06_1.fq.gz	sample06_2.fq.gz
sample07	sample07_1.fq.gz	sample07_2.fq.gz
sample08	sample08_1.fq.gz	sample08_2.fq.gz
sample09	sample09_1.fq.gz	sample09_2.fq.gz
sample10	sample10_1.fq.gz	sample10_2.fq.gz
sample11	sample11_1.fq.gz	sample11_2.fq.gz
sample12	sample12_1.fq.gz	sample12_2.fq.gz
sample13	sample13_1.fq.gz	sample13_2.fq.gz
sample14	sample14_1.fq.gz	sample14_2.fq.gz
sample15	sample15_1.fq.gz	sample15_2.fq.gz
sample16	sample16_1.fq.gz	sample16_2.fq.gz
sample17	sample17_1.fq.gz	sample17_2.fq.gz
sample18	sample18_1.fq.gz	sample18_2.fq.gz
sample19	sample19_1.fq.gz	sample19_2.fq.gz
sample20	sample20_1.fq.gz	sample20_2.fq.gz
sample21	sample21_1.fq.gz	sample21_2.fq.gz
sample22	sample22_1.fq.gz	sample22_2.fq.gz
sample23	sample23_1.fq.gz	sample23_2.fq.gz
sample24	sample24_1.fq.gz	sample24_2.fq.gz
sample25	sample25_1.fq.gz	sample25_2.fq.gz
sample26	sample26_1.fq.gz	sample26_2.fq.gz
sample27	sample27_1.fq.gz	sample27_2.fq.gz
sample28	sample28_1.fq.gz	sample28_2.fq.gz
sample29	sample29_1.fq.gz	sample29_2.fq.gz
sample30	sample30_1.fq.gz	sample30_2.fq.gz
